,Platform MC Low Pressure / Low-Low Pressure  System Parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,Time,Low-Low Pressure Wells,,,,Low Pressure Wells,,,,,,,,,,,,,,,,Low Pressure Sep,Low-Low P Manifold m/f,BT,Pump-107,,Pump-108,,Pump-109,,El. QPLX pump,,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,295A,,286A,,278 Short String,,296 Long String,,294A,,206B,,202,,297 Long String,,312E,,209B,,,Pr Low-Low  Manifold line,PP Suc Pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WHTP,DSP,WHTP,DSP,WHTP,DSP,WHTP,DSP,WHTP,DSP,WHTP,DSP,WHTP,DSP,WHTP,DSP,WHTP,DSP,WHTP,DSP,Pr,,,Dis-Pr,RPM,Dis-Pr,RPM,Dis-Pr,RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar,,Bar,,Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12:00,10,3,27,3,20,7.5,27,7.5,18.5,7.5,30.5,7.5,24.5,7.5,29,8,,,26,7.5,6.5,2.5,2,,,,,,,,,Platform-297-Long String B/W 09:00>13:00 rate test was done (4hrs).Flow rates:oil -209.14 bbl/d; water -277.23 bbl/d; gas -0.67 mmscf/d; GOR -3213  scf/bbl.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14:00,10,3,29,3,18,7.5,25.5,7.5,18.5,7.5,26,7.5,20,7.5,30,7.5,,,27,7.5,6.5,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16:00,9.5,3,28,3.5,20.5,7.5,27.5,7.5,18.5,7.5,33,7.5,27,7.5,8,7.5,,,25.5,7.5,6.5,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18:00,10,3,26.5,3.5,22,7.5,26,7.5,18,7.5,35,7.5,18,7.5,23,7.5,,,26,7.5,6.5,2.5,2,,,,,,,,,"Platform-286A B/W 15:00>19:00 routine test was done (4hrs). Flow rates:oil-84.60bbls, water-29.62bwpd, gas-0.14mmscfd.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20:00,10,3,28,3,25,7.5,25,7.5,18.5,7.5,18,7.5,28,7.5,25,7.5,,,25.5,7.5,6.5,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22:00,10,3,19.5,3,19,7.5,26.5,7.5,18.5,7.5,22,7.5,24.5,7.5,26,7.5,,,26,7.5,6.5,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-May-00,0:00,10,3,27.5,3,20.5,7.5,26,7.5,18.5,7.5,26,7.5,27,7.5,28,7.5,,,27.5,7.5,6.5,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2:00,9.5,3,18,3,23,7.5,26.5,7.5,17,7.5,23,7.5,23,8.5,22.5,7.5,,,26.5,7.5,6.5,2.5,2,,,,,,,,,Platform-202 At 01:00 commenced Platform routine test 6hrs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4:00,10,3,19,3,22.5,7.5,26.5,7.5,18,7.5,25.5,7.5,26,8.5,25,7.5,,,26,7.5,6.5,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6:00,10,3,19.5,3,27,7.5,26,7.5,18,7.5,25.5,7.5,24.5,8.5,26,7.5,,,25,7.5,6.5,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8:00,10.5,3,30,3,23,7.5,26.5,7.5,18.5,7.5,17,7.5,26.5,7.5,25.5,7.5,,,27,7.5,6.5,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10:00,10.5,3,22,3,18,7.5,26.5,7.5,18.5,7.5,28,7.5,25,7.5,28,7.5,,,23.5,7.5,6.5,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12:00,10,3,16.5,3,20,7.5,27,7.5,18.5,7.5,26.5,7.5,26,7.5,27.5,7.5,,,27.5,7.5,6.5,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14:00,10.5,3,31,3,17,7.5,26.5,7.5,18,7.5,32,7.5,24,7.5,26,7.5,,,28.5,7.5,6.5,2.5,2,29,1250,,,29,1250,RUN,,At 13:00 Low Pressure Manifold/LPD pumping flow diverted from Quintuplex pump to Triplex pumps# 17-19.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16:00,10,3,16.5,3,29,7.5,26.5,7.5,18,7.5,17.5,7.5,18,7.5,29,7.5,,,27.5,7.5,6.5,2.5,2,29,1250,,,29,1250,RUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18:00,10,3,24,3,24,7.5,27,7.5,18.5,7.5,19,7.5,23,7.5,8,7.5,,,25.5,7.5,6.5,2.5,2,29,1250,,,29,1250,RUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
